Liczba epok,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%],,Liczba epok,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
10,16625.58,127,78,61.95,,10,15562.37,139.00,66.00,67.81
20,14898.79,173,32,84.39,,20,16032.86,173.25,31.75,84.51
30,15741.75,174,31,84.88,,30,15755.61,175.50,29.50,85.61
50,16188.64,176,29,85.85,,50,16102.87,175.75,29.25,85.73
100,23044.81,181,24,88.29,,100,17741.87,179.25,25.75,87.44
150,16760.69,175,30,85.37,,150,17107.71,177.50,27.50,86.59
200,15153.4,178,27,86.83,,200,17231.10,167.25,37.75,81.59
250,17622.47,181,24,88.29,,250,16313.67,176.75,28.25,86.22
300,17016.93,175,30,85.37,,300,17099.42,163.00,42.00,79.51
350,18146.47,176,29,85.85,,350,17665.12,141.00,64.00,68.78
400,17742.08,176,29,85.85,,400,18372.00,177.25,27.75,86.46
450,17988.93,178,27,86.83,,450,18179.11,164.25,40.75,80.12
500,20111.83,179,26,87.32,,500,19134.95,167.25,37.75,81.59
10,14603.39,127,78,61.95,,,,,,
20,16046.22,175,30,85.37,,,,,,
30,14565.92,177,28,86.34,,,,,,
50,14792.4,177,28,86.34,,,,,,
100,14787.53,180,25,87.8,,,,,,
150,16611.05,179,26,87.32,,,,,,
200,17061.33,179,26,87.32,,,,,,
250,15088.37,173,32,84.39,,,,,,
300,17231.14,127,78,61.95,,,,,,
350,16674.2,86,119,41.95,,,,,,
400,16741.35,180,25,87.8,,,,,,
450,17547.23,182,23,88.78,,,,,,
500,15651.23,138,67,67.32,,,,,,
10,15513.33,175,30,85.37,,,,,,
20,16008.4,173,32,84.39,,,,,,
30,15941.07,176,29,85.85,,,,,,
50,15354.3,175,30,85.37,,,,,,
100,16746.93,176,29,85.85,,,,,,
150,17940.2,178,27,86.83,,,,,,
200,17212.44,139,66,67.8,,,,,,
250,16993.84,176,29,85.85,,,,,,
300,18000.98,170,35,82.93,,,,,,
350,17560.52,127,78,61.95,,,,,,
400,21020.28,180,25,87.8,,,,,,
450,18439.29,127,78,61.95,,,,,,
500,19879.15,175,30,85.37,,,,,,
10,15507.19,127,78,61.95,,,,,,
20,17178.04,172,33,83.9,,,,,,
30,16773.68,175,30,85.37,,,,,,
50,18076.12,175,30,85.37,,,,,,
100,16388.2,180,25,87.8,,,,,,
150,17118.9,178,27,86.83,,,,,,
200,19497.23,173,32,84.39,,,,,,
250,15550.01,177,28,86.34,,,,,,
300,16148.62,180,25,87.8,,,,,,
350,18279.28,175,30,85.37,,,,,,
400,17984.29,173,32,84.39,,,,,,
450,18740.98,170,35,82.93,,,,,,
500,20897.57,177,28,86.34,,,,,,
